core_eps_r	1.0	core_mu_r	1	core_sigma	0.00e+00	shell_eps_r	4.0	shell_mu_r	1.0	shell_sigma	0.00e+00	core_radius	1.5	shell_width	0.0003	radius	1.5003
frequency(Hz)	RCS(m^2)
8.840000000e+09	2.209111141e+01
8.880000000e+09	3.200534348e+00
8.920000000e+09	2.631348748e+00
8.960000000e+09	5.984650767e+00
9.000000000e+09	2.988673389e+00
9.040000000e+09	1.337953288e-01
9.080000000e+09	4.479073113e-01
9.120000000e+09	2.698790922e-02
9.160000000e+09	2.558100422e-01
9.200000000e+09	1.653498725e-01
9.240000000e+09	7.385241688e+00
9.280000000e+09	1.475463290e+01
9.320000000e+09	1.320649001e+01
9.360000000e+09	2.850479531e+00
9.400000000e+09	1.407806310e+01
9.440000000e+09	3.248904598e+01
9.480000000e+09	9.825726940e+00
9.520000000e+09	9.571195998e-01
9.560000000e+09	1.403234438e+01
9.600000000e+09	1.427389100e+01
9.640000000e+09	4.779461750e+00
9.680000000e+09	7.424991665e-01
9.720000000e+09	4.966594809e+00
9.760000000e+09	3.012225801e+00
9.800000000e+09	8.804870259e-01
9.840000000e+09	1.963033904e-01
9.880000000e+09	1.764598539e+00
9.920000000e+09	4.029101400e+00
9.960000000e+09	5.343743715e+00
1.000000000e+10	1.423521228e+00
1.004000000e+10	9.995188075e+00
1.008000000e+10	1.529013938e+01
1.012000000e+10	6.403304671e+00
1.016000000e+10	1.171017966e+00
1.020000000e+10	1.541137414e+01
1.024000000e+10	3.042952442e+01
1.028000000e+10	1.105587851e+01
1.032000000e+10	3.806455551e+00
1.036000000e+10	1.500847007e+01
1.040000000e+10	1.849611633e+01
1.044000000e+10	8.388206758e+00
1.048000000e+10	4.256523039e-02
1.052000000e+10	3.797263910e+00
1.056000000e+10	2.391511128e+00
1.060000000e+10	6.338231475e-01
1.064000000e+10	1.815375160e-01
1.068000000e+10	1.824960564e-01
1.072000000e+10	6.736295357e-02
1.076000000e+10	7.670024106e-01
1.080000000e+10	1.967235443e-01
1.084000000e+10	3.525760444e+00
1.088000000e+10	9.669890572e+00
1.092000000e+10	1.323822767e+01
1.096000000e+10	3.543862819e+00
1.100000000e+10	4.564936617e+00
1.104000000e+10	1.953829372e+01
1.108000000e+10	2.312002238e+01
1.112000000e+10	4.969943307e+00
1.116000000e+10	2.607081858e+00
1.120000000e+10	1.807990766e+01
1.124000000e+10	2.573702514e+01
1.128000000e+10	8.384921756e+00
1.132000000e+10	1.667582842e+00
1.136000000e+10	1.222807839e+01
1.140000000e+10	1.363017987e+01
1.144000000e+10	7.504813947e+00
1.148000000e+10	3.724928139e-01
1.152000000e+10	4.684291854e+00
1.156000000e+10	4.257816696e+00
1.160000000e+10	2.238787274e+00
1.164000000e+10	3.061020140e-01
1.168000000e+10	3.303318656e-03
1.172000000e+10	1.952332460e-01
1.176000000e+10	5.626347243e-01
1.180000000e+10	5.633406802e-01
1.184000000e+10	9.657143939e-01
1.188000000e+10	4.756830933e+00
1.192000000e+10	7.045092981e+00
1.196000000e+10	5.058279155e+00
1.200000000e+10	8.612695334e-01
1.204000000e+10	1.073498805e+01
1.208000000e+10	1.689705540e+01
1.212000000e+10	1.152675830e+01
1.216000000e+10	1.043690831e+00
1.220000000e+10	9.663972708e+00
1.224000000e+10	2.913537699e+01
1.228000000e+10	2.045335085e+01
1.232000000e+10	3.520541398e+00
1.236000000e+10	4.392235907e+00
1.240000000e+10	2.223450257e+01
1.244000000e+10	2.350186949e+01
1.248000000e+10	6.120466248e+00
1.252000000e+10	1.678035596e+00
1.256000000e+10	1.335363386e+01
1.260000000e+10	1.518083059e+01
1.264000000e+10	8.593695527e+00
1.268000000e+10	2.674838934e-01
1.272000000e+10	4.453797300e+00
1.276000000e+10	5.277656748e+00
1.280000000e+10	3.204894175e+00
1.284000000e+10	7.187531498e-01
1.288000000e+10	5.032894960e-01
1.292000000e+10	5.108297957e-01
1.296000000e+10	1.386510124e-01
1.300000000e+10	1.486277725e-01
1.304000000e+10	3.317988827e-02
1.308000000e+10	8.068423528e-01
1.312000000e+10	1.717887656e+00
1.316000000e+10	2.835679991e+00
1.320000000e+10	8.628822384e-01
1.324000000e+10	2.285722894e+00
1.328000000e+10	7.698737433e+00
1.332000000e+10	1.047138349e+01
1.336000000e+10	4.850226882e+00
1.340000000e+10	1.455674222e+00
1.344000000e+10	1.165412099e+01
1.348000000e+10	1.959505229e+01
1.352000000e+10	1.269742167e+01
1.356000000e+10	1.823663928e+00
1.360000000e+10	7.412426594e+00
1.364000000e+10	2.486402390e+01
1.368000000e+10	2.155798657e+01
1.372000000e+10	5.649966003e+00
1.376000000e+10	2.853115945e+00
1.380000000e+10	1.680637291e+01
1.384000000e+10	2.718353259e+01
1.388000000e+10	1.112511384e+01
1.392000000e+10	1.424622399e+00
1.396000000e+10	7.556878250e+00
1.400000000e+10	1.850499156e+01
1.404000000e+10	1.451411071e+01
1.408000000e+10	2.938382146e+00
1.412000000e+10	2.001637298e+00
1.416000000e+10	9.056260461e+00
1.420000000e+10	8.131909129e+00
1.424000000e+10	4.775225575e+00
1.428000000e+10	6.847044624e-02
1.432000000e+10	2.606937364e+00
1.436000000e+10	2.563409206e+00
1.440000000e+10	1.545854634e+00
1.444000000e+10	4.404814354e-01
1.448000000e+10	1.431524532e-01
1.452000000e+10	1.057510377e-01
1.456000000e+10	2.432403746e-03
1.460000000e+10	1.056606357e-01
1.464000000e+10	1.346775483e-02
1.468000000e+10	7.401916237e-01
1.472000000e+10	1.718599592e+00
1.476000000e+10	2.432524383e+00
1.480000000e+10	1.375214116e+00
1.484000000e+10	9.791420817e-01
1.488000000e+10	5.610119505e+00
1.492000000e+10	7.904066349e+00
1.496000000e+10	6.349710323e+00
1.500000000e+10	4.633570567e-01
1.504000000e+10	6.160575238e+00
1.508000000e+10	1.403889769e+01
1.512000000e+10	1.539969579e+01
1.516000000e+10	4.048630474e+00
1.520000000e+10	2.307266205e+00
1.524000000e+10	1.475977278e+01
1.528000000e+10	2.374560853e+01
1.532000000e+10	1.273356055e+01
1.536000000e+10	1.830266672e+00
1.540000000e+10	7.460314917e+00
1.544000000e+10	2.549892491e+01
1.548000000e+10	2.386750692e+01
1.552000000e+10	6.158046953e+00
1.556000000e+10	2.378677649e+00
1.560000000e+10	1.432494124e+01
1.564000000e+10	2.886465025e+01
1.568000000e+10	1.501293022e+01
1.572000000e+10	2.231488882e+00
1.576000000e+10	5.045120181e+00
1.580000000e+10	1.893548076e+01
1.584000000e+10	2.002185891e+01
1.588000000e+10	7.224501314e+00
1.592000000e+10	7.605960347e-01
1.596000000e+10	9.156169509e+00
1.600000000e+10	1.340214456e+01
1.604000000e+10	1.053294383e+01
1.608000000e+10	1.984563340e+00
1.612000000e+10	1.851224729e+00
1.616000000e+10	7.044994471e+00
1.620000000e+10	6.157936559e+00
1.624000000e+10	3.625441722e+00
1.628000000e+10	1.089275859e-01
1.632000000e+10	1.946558985e+00
1.636000000e+10	2.297122359e+00
1.640000000e+10	1.605932547e+00
1.644000000e+10	5.367626563e-01
1.648000000e+10	1.009512171e-01
1.652000000e+10	2.178336764e-01
1.656000000e+10	1.150231083e-01
1.660000000e+10	9.198914125e-03
1.664000000e+10	3.679624724e-02
1.668000000e+10	9.182506205e-02
1.672000000e+10	5.279696309e-01
1.676000000e+10	9.536873777e-01
1.680000000e+10	1.004810854e+00
1.684000000e+10	2.251668340e-02
