frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
1.000000000e+06	6.283080000e-06	4.045319327e-06	2.237760673e-06	3.561566418e-01	1
2.330000000e+06	1.506440000e-04	1.326630845e-04	1.798091549e-05	1.193603163e-01	1
3.660000000e+06	8.841210000e-04	8.405815517e-04	4.353944833e-05	4.924602891e-02	1
4.990000000e+06	3.000910000e-03	2.970095176e-03	3.081482449e-05	1.026849339e-02	1
6.320000000e+06	7.618560000e-03	7.755391118e-03	1.368311179e-04	1.796023368e-02	1
7.650000000e+06	1.616580000e-02	1.682291519e-02	6.571151853e-04	4.064847922e-02	1
8.980000000e+06	3.038980000e-02	3.218917042e-02	1.799370417e-03	5.920968275e-02	1
1.031000000e+07	5.239150000e-02	5.625594605e-02	3.864446048e-03	7.376093543e-02	1
1.164000000e+07	8.468600000e-02	9.180242857e-02	7.116428569e-03	8.403311727e-02	1
1.297000000e+07	1.302770000e-01	1.419731007e-01	1.169610071e-02	8.977870777e-02	1
1.430000000e+07	1.927210000e-01	2.102596532e-01	1.753865317e-02	9.100540766e-02	1
1.563000000e+07	2.761490000e-01	3.004742709e-01	2.432527085e-02	8.808748484e-02	1
1.696000000e+07	3.852160000e-01	4.167106003e-01	3.149460030e-02	8.175828704e-02	1
1.829000000e+07	5.249530000e-01	5.632874839e-01	3.833448388e-02	7.302460198e-02	1
1.962000000e+07	7.005060000e-01	7.446692406e-01	4.416324062e-02	6.304477138e-02	1
2.095000000e+07	9.168020000e-01	9.653550451e-01	4.855304506e-02	5.295913956e-02	1
2.228000000e+07	1.178140000e+00	1.229729083e+00	5.158908280e-02	4.378858437e-02	1
2.361000000e+07	1.487830000e+00	1.541863073e+00	5.403307283e-02	3.631669803e-02	1
2.494000000e+07	1.847850000e+00	1.905264044e+00	5.741404415e-02	3.107072768e-02	1
2.627000000e+07	2.258640000e+00	2.322563687e+00	6.392368732e-02	2.830184860e-02	1
2.760000000e+07	2.719120000e+00	2.795151977e+00	7.603197664e-02	2.796197911e-02	1
2.893000000e+07	3.226730000e+00	3.322767703e+00	9.603770272e-02	2.976316665e-02	1
3.026000000e+07	3.777610000e+00	3.903072141e+00	1.254621414e-01	3.321204185e-02	1
3.159000000e+07	4.366900000e+00	4.531248306e+00	1.643483063e-01	3.763500567e-02	1
3.292000000e+07	4.988750000e+00	5.199684482e+00	2.109344821e-01	4.228203099e-02	1
3.425000000e+07	5.636430000e+00	5.897812569e+00	2.613825694e-01	4.637378082e-02	1
3.558000000e+07	6.302130000e+00	6.612173356e+00	3.100433561e-01	4.919659799e-02	1
3.691000000e+07	6.976620000e+00	7.326766461e+00	3.501464608e-01	5.018855273e-02	1
3.824000000e+07	7.648940000e+00	8.023709304e+00	3.747693038e-01	4.899624050e-02	1
3.957000000e+07	8.306120000e+00	8.684179427e+00	3.780594267e-01	4.551576749e-02	1
4.090000000e+07	8.933100000e+00	9.289557158e+00	3.564571580e-01	3.990296292e-02	1
4.223000000e+07	9.513070000e+00	9.822636044e+00	3.095660440e-01	3.254112963e-02	1
4.356000000e+07	1.002820000e+01	1.026874266e+01	2.405426594e-01	2.398662367e-02	1
4.489000000e+07	1.046070000e+01	1.061661587e+01	1.559158730e-01	1.490491774e-02	1
4.622000000e+07	1.079450000e+01	1.085893813e+01	6.443812961e-02	5.969533523e-03	1
4.755000000e+07	1.101620000e+01	1.099247620e+01	2.372380196e-02	2.153537695e-03	1
4.888000000e+07	1.111720000e+01	1.101785759e+01	9.934241003e-02	8.935920019e-03	1
5.021000000e+07	1.109390000e+01	1.093906349e+01	1.548365125e-01	1.395690537e-02	1
5.154000000e+07	1.094880000e+01	1.076274843e+01	1.860515697e-01	1.699287317e-02	1
5.287000000e+07	1.068970000e+01	1.049749955e+01	1.922004500e-01	1.797996669e-02	1
5.420000000e+07	1.032920000e+01	1.015312987e+01	1.760701329e-01	1.704586347e-02	1
5.553000000e+07	9.883230000e+00	9.740070787e+00	1.431592135e-01	1.448506344e-02	1
