eps_r	100000000.0	mu_r	1.0	sigma	0.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
2.362000000e+08	3.920716255e+00
2.375000000e+08	3.793184557e+00
2.388000000e+08	3.660282293e+00
2.401000000e+08	3.492212873e+00
2.414000000e+08	3.349986505e+00
2.427000000e+08	3.188565752e+00
2.440000000e+08	3.034442353e+00
2.453000000e+08	2.893356073e+00
2.466000000e+08	2.760358467e+00
2.479000000e+08	2.638510971e+00
2.492000000e+08	2.528964004e+00
2.505000000e+08	2.438864529e+00
2.518000000e+08	2.360932095e+00
2.531000000e+08	2.301213887e+00
2.544000000e+08	2.270432840e+00
2.557000000e+08	2.242656234e+00
2.570000000e+08	2.255016715e+00
2.583000000e+08	2.284429541e+00
2.596000000e+08	2.327065186e+00
2.609000000e+08	2.380646257e+00
2.622000000e+08	2.457831129e+00
2.635000000e+08	2.558920499e+00
2.648000000e+08	2.671676561e+00
2.661000000e+08	2.772757133e+00
2.674000000e+08	2.817812074e+00
2.687000000e+08	3.034644019e+00
2.700000000e+08	3.144492476e+00
2.713000000e+08	3.289496386e+00
2.726000000e+08	3.434947198e+00
2.739000000e+08	3.555136405e+00
2.752000000e+08	3.658675758e+00
2.765000000e+08	3.761381172e+00
2.778000000e+08	3.873072527e+00
2.791000000e+08	3.964418005e+00
2.804000000e+08	4.006727142e+00
2.817000000e+08	3.283034922e+00
2.830000000e+08	4.098647089e+00
2.843000000e+08	4.087726258e+00
2.856000000e+08	4.095668200e+00
2.869000000e+08	4.092408311e+00
2.882000000e+08	4.049548400e+00
2.895000000e+08	3.980478225e+00
2.908000000e+08	3.906890033e+00
2.921000000e+08	3.842028550e+00
2.934000000e+08	3.762350174e+00
2.947000000e+08	3.633276482e+00
2.960000000e+08	3.682219510e+00
2.973000000e+08	3.417477636e+00
2.986000000e+08	3.279058888e+00
2.999000000e+08	3.170634846e+00
3.012000000e+08	3.066418264e+00
3.025000000e+08	2.953256789e+00
3.038000000e+08	2.836645273e+00
3.051000000e+08	2.738325115e+00
3.064000000e+08	2.661913590e+00
3.077000000e+08	2.600439452e+00
3.090000000e+08	2.520509810e+00
3.103000000e+08	2.502259049e+00
3.116000000e+08	2.447966428e+00
3.129000000e+08	2.424225162e+00
3.142000000e+08	2.429392412e+00
3.155000000e+08	2.448208563e+00
3.168000000e+08	2.479790505e+00
3.181000000e+08	2.523413643e+00
3.194000000e+08	2.583573427e+00
3.207000000e+08	2.653920380e+00
3.220000000e+08	2.732772621e+00
3.233000000e+08	2.826910160e+00
3.246000000e+08	2.912189302e+00
3.259000000e+08	3.022626152e+00
3.272000000e+08	3.134003655e+00
3.285000000e+08	3.235704559e+00
