eps_r	5.0	mu_r	1.0	sigma	1.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
5.825200000e+09	6.024621612e-01
5.858333333e+09	6.010826029e-01
5.891466667e+09	5.997235188e-01
5.924600000e+09	5.983811212e-01
5.957733333e+09	5.970582968e-01
5.990866667e+09	5.957524027e-01
6.024000000e+09	5.944642212e-01
6.057133333e+09	5.931937097e-01
6.090266667e+09	5.919391557e-01
6.123400000e+09	5.907025254e-01
6.156533333e+09	5.894810023e-01
6.189666667e+09	5.882763766e-01
6.222800000e+09	5.870868329e-01
6.255933333e+09	5.859138738e-01
6.289066667e+09	5.847578718e-01
6.322200000e+09	5.836126083e-01
6.355333333e+09	5.824749521e-01
6.388466667e+09	5.813617730e-01
6.421600000e+09	5.803044736e-01
6.454733333e+09	5.792399808e-01
6.487866667e+09	5.780162090e-01
6.521000000e+09	5.767917052e-01
6.554133333e+09	5.762077855e-01
6.587266667e+09	5.760099286e-01
6.620400000e+09	5.738773476e-01
6.653533333e+09	5.696250084e-01
6.686666667e+09	5.705142490e-01
6.719800000e+09	5.800470854e-01
6.752933333e+09	5.785224701e-01
6.786066667e+09	5.493293358e-01
6.819200000e+09	5.390038210e-01
6.852333333e+09	6.034019329e-01
6.885466667e+09	6.498567843e-01
6.918600000e+09	5.335656920e-01
6.951733333e+09	4.087277258e-01
6.984866667e+09	5.834161797e-01
7.018000000e+09	8.721580021e-01
7.051133333e+09	7.476669041e-01
7.084266667e+09	3.128261454e-01
7.117400000e+09	2.921971886e-01
7.150533333e+09	8.565615055e-01
7.183666667e+09	1.258648918e+00
7.216800000e+09	9.146118871e-01
7.249933333e+09	2.553396905e-01
7.283066667e+09	1.494531656e-01
7.316200000e+09	7.850364647e-01
7.349333333e+09	1.464012383e+00
7.382466667e+09	1.444347694e+00
7.415600000e+09	7.542270587e-01
7.448733333e+09	1.145362847e-01
7.481866667e+09	1.707553776e-01
7.515000000e+09	8.786645594e-01
7.548133333e+09	1.596513038e+00
7.581266667e+09	1.701269336e+00
7.614400000e+09	1.121470974e+00
7.647533333e+09	3.530431871e-01
7.680666667e+09	1.729637490e-02
7.713800000e+09	3.695744956e-01
7.746933333e+09	1.136884104e+00
7.780066667e+09	1.758810670e+00
7.813200000e+09	1.806174936e+00
7.846333333e+09	1.264836457e+00
7.879466667e+09	5.122214382e-01
7.912600000e+09	4.205226548e-02
7.945733333e+09	1.443035885e-01
7.978866667e+09	7.434436089e-01
8.012000000e+09	1.471937931e+00
8.045133333e+09	1.906437355e+00
8.078266667e+09	1.811829646e+00
8.111400000e+09	1.256673934e+00
8.144533333e+09	5.532604064e-01
8.177666667e+09	7.523328458e-02
8.210800000e+09	6.150554280e-02
8.243933333e+09	5.067610359e-01
8.277066667e+09	1.182108117e+00
8.310200000e+09	1.760719716e+00
8.343333333e+09	1.977348494e+00
8.376466667e+09	1.744718375e+00
8.409600000e+09	1.179588538e+00
8.442733333e+09	5.373222272e-01
8.475866667e+09	9.328724949e-02
8.509000000e+09	2.672416955e-02
8.542133333e+09	3.544241130e-01
8.575266667e+09	9.353494841e-01
8.608400000e+09	1.536635250e+00
8.641533333e+09	1.928933613e+00
8.674666667e+09	1.972036495e+00
8.707800000e+09	1.660232262e+00
8.740933333e+09	1.115280901e+00
8.774066667e+09	5.350155941e-01
8.807200000e+09	1.200482693e-01
8.840333333e+09	5.780450247e-03
8.873466667e+09	2.218370228e-01
8.906600000e+09	6.893686554e-01
8.939733333e+09	1.253227178e+00
8.972866667e+09	1.735367555e+00
9.006000000e+09	1.990874432e+00
9.039133333e+09	1.949403464e+00
9.072266667e+09	1.631187176e+00
9.105400000e+09	1.135455531e+00
9.138533333e+09	6.072891143e-01
9.171666667e+09	1.943103337e-01
9.204800000e+09	6.128233999e-03
9.237933333e+09	8.723935581e-02
9.271066667e+09	4.092910368e-01
9.304200000e+09	8.828795373e-01
9.337333333e+09	1.384009895e+00
9.370466667e+09	1.787178001e+00
9.403600000e+09	1.996276101e+00
9.436733333e+09	1.966017860e+00
9.469866667e+09	1.709648270e+00
9.503000000e+09	1.292394244e+00
9.536133333e+09	8.134725034e-01
9.569266667e+09	3.817744678e-01
9.602400000e+09	9.121780600e-02
9.635533333e+09	1.193049063e-03
9.668666667e+09	1.258587117e-01
9.701800000e+09	4.337615789e-01
9.734933333e+09	8.569441909e-01
9.768066667e+09	1.306836273e+00
9.801200000e+09	1.693132628e+00
9.834333333e+09	1.941655017e+00
9.867466667e+09	2.007803656e+00
9.900600000e+09	1.883399843e+00
9.933733333e+09	1.596197869e+00
9.966866667e+09	1.202785511e+00
1.000000000e+10	7.767347628e-01
